project_entity_id,country_iso3,year,canonical_title,member_count,source_count,sources,member_record_keys,match_basis,amount_policy
SRC-9D026F0816DC32,,2004,Chinese government grants RMB 3 million of office supplies and computer equipment to government of Central African Republic,1,1,aiddata,aiddata:56264,source_record,no_cross_source_amount_selected_or_summed
PM-245DFB87F12DFC,,2005,"Chinese Government dispatches 18th medical team to Makélékélé Reference Hospital, Talangaï Hospital, and Loandjili General Hospital",2,2,aiddata|chapo,aiddata:36336|chapo:36336,direct_reference,no_cross_source_amount_selected_or_summed
SRC-5600E3B2ED48CC,,2005,Chinese Government provides RMB 12 million general budget support grant to help CAR pay civil servant salaries (Linked to Record ID#378),1,1,aiddata,aiddata:55607,source_record,no_cross_source_amount_selected_or_summed
SRC-65367932073839,,2005,China Eximbank provides 51 million EUR seller's credit to ZTE for the provision and installation of mobile and fixed telecom networks,1,1,aiddata,aiddata:147,source_record,no_cross_source_amount_selected_or_summed
SRC-C6A6EFA08E2F0F,,2005,Accelerate Peace Process,1,1,cla,cla:CI.002,source_record,no_cross_source_amount_selected_or_summed
SRC-CF70397CCC6089,,2005,Chinese Government provides grant for Chinese Medical Team Housing Construction Project,1,1,aiddata,aiddata:57871,source_record,no_cross_source_amount_selected_or_summed
SRC-D1FB86C5D39B3A,,2005,"CMEC provides $551.5 million supplier's credit for Power Transmission Network Associated with the Imboulou Hydropower Plant Project (Linked to Record ID#434, #73614)",1,1,aiddata,aiddata:1049,source_record,no_cross_source_amount_selected_or_summed
SRC-F5C8788150848B,,2005,Mobile and Fixed Network,1,1,cla,cla:CF.009,source_record,no_cross_source_amount_selected_or_summed
PM-00A4D5115714A5,,2006,China grants anti-malaria drugs worth 52 million CFA Francs to the Central African Republic,2,2,aiddata|chapo,aiddata:56519|chapo:56519,direct_reference,no_cross_source_amount_selected_or_summed
PM-4FFA0A4E11CB24,,2006,Chinese Government dispatches 12th Chinese medical team to the Friendship Hospital in Bangui (Linked to Record ID#87605),2,2,aiddata|chapo,aiddata:36230|chapo:36230,direct_reference,no_cross_source_amount_selected_or_summed
