candidate_id,left_record_key,right_record_key,country_iso3,year,similarity,status,review_decision,method,left_title,right_title
MC-032774DAF4A2A7,aiddata:91497,chapo:91497,CMR,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Embassy donates anti-epidemic supplies to the Cameroon Institute of International Relations in November 2020,Embassy donates anti-epidemic supplies
MC-03324A64656ACF,aiddata:60122,chapo:60122,BFA,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government sends first medical team to Burkina Faso (Linked to Record ID#60124, #88583, #88741)",Gov't sent 1st team
MC-03532FBEF190FF,aiddata:57710,chapo:57710,GNB,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,China donates medicine and medical equipment to Guinea-Bissau in 2018,Gov't donated medicine & med. equipment
MC-035CAE4048B941,aiddata:94675,chapo:94675,GMB,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,China sends fourth medical team to the Gambia,4th team sent
MC-0376E747883740,cgef:CI.009,cgp:CI.001.4,CIV,2013,1,direct_reference,confirmed_by_source_id,source_cross_reference,Soubre Hydropower Plant (275MW),Soubre Hydropower Plant
MC-037F854A2AE148,aiddata:57400,chapo:57400,GNB,2017,1,direct_reference,confirmed_by_source_id,source_cross_reference,China donates medical supplies to Guinea-Bissau in 2017,Gov't donated med. supplies
MC-0385C6C59FD259,aiddata:72406,chapo:72406,TGO,2017,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government dispatches 22nd medical team to Lomé-Commune Health District Hospital and Kara Regional Hospital,Gov't dispatched 22nd team to hospitals
MC-0397E77F122E66,aiddata:96988,chapo:96988,ETH,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese government donates a batch of Covid-19 medical supplies to Tigray region in Ethiopia in May 2021,Gov't donates Covid-19 medical supplies
MC-039E5EF1E94885,aiddata:47301,chapo:47301,SDN,2008,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides $2.9 million grant for Phase 1 of Rumbek Kiir Maryardit Women Hospital Construction Project (Linked to Record ID#53331),Gov't provided grant for women hospital construction project
MC-03CD3541E73BEE,aiddata:86893,chapo:86893,SDN,2019,1,direct_reference,confirmed_by_source_id,source_cross_reference,China dispatches 35th Chinese medical team to Sudan,Gov't dispatched 35th
MC-03D312B7390082,cgef:SD.005,cgp:SD.001.10,SDN,2003,1,direct_reference,confirmed_by_source_id,source_cross_reference,Merowe Hydropower Plant (1250MW),Merowe Hydropower Plant
MC-03EF24C0A8B1DC,aiddata:59012,chapo:59012,SSD,2015,1,direct_reference,confirmed_by_source_id,source_cross_reference,China sent the 3rd medical team to South Sudan,3rd team sent
MC-03FFE91AEC4416,aiddata:63230,chapo:63230,SLE,2017,1,direct_reference,confirmed_by_source_id,source_cross_reference,China provides pediatrics training course to 19 medical staff,China provided pediatrics training course to 19 med. staff
